ACADEMIC YEAR , SEM, COURSE NAME , COURSE TITLE , DEPT , INSTRUCTOR NAME, REGIST, DETAILS
2010-11 , 2 ,ART105 ,INTRODUCTION TO THE ART OF VIDEO MAKING , HSS ,DR SATYAKI ROY,86,Click for details
2010-11 , 1 ,ART402 ,MODERN ART , HSS ,K P PATIL,55,Click for details
2010-11 , 2 ,ART402 ,MODERN ART , HSS ,K P PATIL,36,Click for details
2010-11 , 2 ,BSE100 ,INTRODUCTION TO BIOLOGICAL SCIENCES &amp; BIOENGG. , BSBE ,CONVENER DUGC,39,Click for details
2010-11 , 1 ,BSE212 ,MOLECULAR BIOLOGY , BSBE ,A BANDYOPADHYAY,32,Click for details
2010-11 , 2 ,BSE216 ,BIOCHEMISTRY , BSBE ,A BANDYOPADHYAYA,33,Click for details
2010-11 , 2 ,BSE292 ,BSBE LAB-I MOLECUTAR BIOLOGY , BSBE ,P SINHA,30,Click for details
2010-11 , 2 ,BSE314 ,BIOMECHANICS , BSBE ,A PAL,28,Click for details
2010-11 , 1 ,BSE322 ,STRUCTURAL BIOLOGY &amp; BIOINFORMATICS , BSBE ,B PRAKASH,25,Click for details
2010-11 , 1 ,BSE341 ,BIOCHEMICAL ENGINEERING , BSBE ,A KUMAR,31,Click for details
2010-11 , 1 ,BSE352 ,BIOMATERIALS , BSBE ,D S KATTI,29,Click for details
2010-11 , 1 ,BSE391 ,BSBE LAB-II BIOCHEMISTRY &amp; BIOCHEM. ENGG. , BSBE ,K SUBRAMANIAM,26,Click for details
2010-11 , 2 ,BSE392 ,BSBE LAB III STRUCTURAL BIOL. &amp; BIOINFORMATICS , BSBE ,R S RAMAKRISHNAN,26,Click for details
2010-11 , 2 ,BSE454 ,INTRODUCTION TO TISSUE ENGG. , BSBE ,D S KATTI,26,Click for details
2010-11 , 1 ,BSE491 ,BSBE LAB IV BIOMECHANICS &amp; BIOMATERIALS , BSBE ,A PAL,23,Click for details
2010-11 , 1 ,BSE498 ,PROJECT I , BSBE ,CONVENER DUGC,24,Click for details
2010-11 , 2 ,BSE498 ,PROJECT I , BSBE ,CONVENER DUGC,1,Click for details
2010-11 , 1 ,BSE499 ,PROJECT II , BSBE ,CONVENER DUGC,1,Click for details
2010-11 , 2 ,BSE499 ,PROJECT II , BSBE ,CONVENER DUGC,18,Click for details
2010-11 , 1 ,BSE612 ,MATHEMATICS &amp; STATISTICS FOR BIOLOGISTS , BSBE ,A PAL,29,Click for details
2010-11 , 1 ,BSE613 ,CELL &amp; MOLECULAR BIOLOGY , BSBE ,S GANESH,33,Click for details
2010-11 , 1 ,BSE629 ,NEUROBIOLOGY , BSBE ,J SEN,25,Click for details
2010-11 , 1 ,BSE630 ,DEVELOPMENTAL BIOLOGY I , BSBE ,K SUBRAMANIAM,12,Click for details
2010-11 , 2 ,BSE631 ,DEVELOPMENTAL BIOLOGY II , BSBE ,P SINHA,15,Click for details
2010-11 , 1 ,BSE632 ,STRUCTURAL BIOLOGY &amp; BIOPHYSICS , BSBE ,R SANKAR,26,Click for details
2010-11 , 2 ,BSE633 ,BIOINFORMATICS AND COMPUTATIONAL BIOLOGY , BSBE ,R S RAMAKRISHNAN,7,Click for details
2010-11 , 2 ,BSE634 ,FUNCTIONAL GENOMICS , BSBE ,K SUBRAMANIAM,10,Click for details
2010-11 , 2 ,BSE636 ,HUMAN MOLECULAR GENETICS , BSBE ,S GANESH,10,Click for details
2010-11 , 2 ,BSE638 ,STRUCTURAL BASIS OF PROTEIN FUNCTION , BSBE ,BALAJI PRAKASH,14,Click for details
2010-11 , 1 ,BSE640 ,BIOMATERIALS , BSBE ,D S KATTI,24,Click for details
2010-11 , 1 ,BSE641 ,BIOLOGY LAB , BSBE ,DPGC CONVENOR,3,Click for details
2010-11 , 2 ,BSE641 ,BIOLOGY LAB , BSBE ,CONVENER DPGC,5,Click for details
2010-11 , 2 ,BSE652 ,TISSUE ENGINEERING , BSBE ,D S KATTI,9,Click for details
2010-11 , 2 ,BSE653 ,BIOELECTRICITY AND BIO-ELECTRONIC DEVICES , BSBE ,MAINAK DAS,64,Click for details
2010-11 , 1 ,BSE671 ,RESEARCH METHODS IN BIOLOGICAL SCIENCES , BSBE ,DPGC CONVENOR,5,Click for details
2010-11 , 2 ,BSE671 ,RESEARCH METHODS IN BIOLOGICAL SCIENCES , BSBE ,CONVENER DPGC,5,Click for details
2010-11 , 1 ,BSE681 ,SPECIAL TOPICS IN BIOLOGICAL SCIENCES &amp; BIOENGINEERING , BSBE ,DPGC CONVENOR,5,Click for details
2010-11 , 2 ,BSE681 ,SPECIAL TOPICS IN BIOLOGICAL SCIENCES &amp; BIOENGINEERING , BSBE ,CONVENER DPGC,5,Click for details
2010-11 , 1 ,BSE699 ,M.TECH THESIS , BSBE ,DPGC CONVENOR,12,Click for details
2010-11 , 2 ,BSE699 ,M.TECH THESIS , BSBE ,CONVENER DPGC,25,Click for details
2010-11 , 3 ,BSE699 ,M.TECH THESIS , BSBE ,CONVENER DPGC,2,Click for details
2010-11 , 1 ,BSE701 ,SEMINAR , BSBE ,DPGC CONVENOR,22,Click for details
2010-11 , 2 ,BSE701 ,SEMINAR , BSBE ,CONVENER DPGC,4,Click for details
2010-11 , 1 ,BSE702 ,SEMINAR , BSBE ,DPGC CONVENOR,22,Click for details
2010-11 , 2 ,BSE702 ,SEMINAR , BSBE ,CONVENER DPGC,4,Click for details
2010-11 , 1 ,BSE799 ,PHD THESIS , BSBE ,DPGC CONVENOR,54,Click for details
2010-11 , 2 ,BSE799 ,PHD THESIS , BSBE ,CONVENER DPGC,54,Click for details
2010-11 , 3 ,BSE799 ,PHD THESIS , BSBE ,CONVENER DPGC,0
2010-11 , 2 ,CE100 ,INTRODUCTION TO PROFESSION , CE ,S MISHRA,106,Click for details
2010-11 , 2 ,CE222 ,STRUTURAL ANALYSIS , CE ,ASHWINI KUMAR,93,Click for details
2010-11 , 2 ,CE242 ,ENGINEERING GEOSCIENCES , CE ,R SINHA,88,Click for details
2010-11 , 1 ,CE251 ,CONSTRUCTION MATERIALS , CE ,S MISHRA,88,Click for details
2010-11 , 1 ,CE311 ,ENGINEERING HYDROLOGY , CE ,P K MOHAPATRA,79,Click for details
2010-11 , 2 ,CE312N ,HYDRAULIC ENGINEERING , CE ,P K MOHAPATRA,76,Click for details
2010-11 , 1 ,CE321 ,DESIGN OF STEEL STRUCTURES , CE ,D C RAI,90,Click for details
2010-11 , 2 ,CE322 ,DESIGN OF REINFORCED CONCRETE STRUCTURES , CE ,S K CHAKRABARTI,77,Click for details
2010-11 , 1 ,CE331 ,SOIL MECHANICS , CE ,P RAY CHOWDHURY,79,Click for details
2010-11 , 2 ,CE332 ,GEOTECHNICAL ENGINEERING , CE ,P K BASHUDHAR,80,Click for details
2010-11 , 1 ,CE342 ,ENGINEERING APPLICATIONS OF GEOLOGIC STRUCTURES , CE ,J N MALIK,0
2010-11 , 1 ,CE361 ,ENVIRONMENTAL QUALITY &amp; POLLUTION , CE ,S N TRIPATHI,76,Click for details
2010-11 , 2 ,CE362 ,WATER SUPPLY &amp; WASTWATER ENGINEERING , CE ,TARUN GUPTA,87,Click for details
2010-11 , 1 ,CE371 ,GEOINFORMATICS , CE ,O DIKSHIT,75,Click for details
2010-11 , 1 ,CE373 ,SURVEY AND GEOLOGY CAMP , CE ,D PAUL,0
2010-11 , 2 ,CE373 ,SURVEY AND GEOLOGY CAMP , CE ,CONVENER DUGC,76,Click for details
2010-11 , 2 ,CE382 ,TRANSPORTATION ENGINEERING , CE ,A DAS,79,Click for details
2010-11 , 1 ,CE451 ,SYSTEMS ANALYSIS IN CIVIL ENGG. , CE ,COURSE DROPPED,0
2010-11 , 2 ,CE451 ,SYSTEMS ANALYSIS IN CIVIL ENGG. , CE ,PARTHA CHAKRABORTY,66,Click for details
2010-11 , 2 ,CE452 ,PRINCIPLES OF CONSTRUCTION MANAGEMENT , CE ,SUDHIR MISRA,32,Click for details
2010-11 , 1 ,CE453 ,CIVIL ENGINEERING DESIGN AND CONSTRUCTON , CE ,S MISHRA,40,Click for details
2010-11 , 1 ,CE491 ,PROJECT-I , CE ,DUGC CONVENER,45,Click for details
2010-11 , 3 ,CE491 ,PROJECT-I , CE ,SUDHIR MISHRA,1,Click for details
2010-11 , 2 ,CE492 ,PROJECT II , CE ,CONVENER DUGC,45,Click for details
2010-11 , 3 ,CE492 ,PROJECT II , CE ,CONVENER DUGC,1,Click for details
2010-11 , 1 ,CE601 ,STATISTICAL ANALYSIS FOR CIVIL ENGINEERS , CE ,M SHARMA,20,Click for details
2010-11 , 1 ,CE602N ,ADVANCED MATHEMATICS FOR CIVIL ENGINEERS , CE ,S N TRIPATHI,79,Click for details
2010-11 , 1 ,CE611N ,ENGINEERING HYDRAULICS , CE ,RAJESH SRIVASTAVA,14,Click for details
2010-11 , 2 ,CE612 ,FLUID MECHANICS LABORATORY , CE ,P K MOHAPATRA,16,Click for details
2010-11 , 2 ,CE613 ,COMPUTER METHODS IN HYDRAULICS AND HYDROLOGY , CE ,SHIVAM TRIPATHI,19,Click for details
2010-11 , 3 ,CE613 ,COMPUTER METHODS IN HYDRAULICS AND HYDROLOGY , CE ,SHIVAM TRIPATHI,2,Click for details
2010-11 , 1 ,CE614 ,STOCHASTIC HYDROLOGY , CE ,ASHU JAIN,14,Click for details
2010-11 , 1 ,CE620 ,STRUCTURAL DYNAMICS , CE ,RAY-CHAUDHURI,31,Click for details
2010-11 , 1 ,CE621N ,ENGINEERING MECHANICS , CE ,ASHWINI KUMAR,19,Click for details
2010-11 , 2 ,CE622N ,STABILITY OF STRUCTURES , CE ,S K MISHRA,12,Click for details
2010-11 , 1 ,CE623N ,EXPERIMENTAL METHODS IN STRUCTURAL ENGINEERNIG , CE ,SAMIT RAY CHAUDHURI,17,Click for details
2010-11 , 2 ,CE625 ,MASONARY STRUCTURES , CE ,D C RAI,0
2010-11 , 2 ,CE627 ,ADVANCED DESIGN OF STEEL STRUCTURES , CE ,D C RAI,18,Click for details
2010-11 , 2 ,CE629 ,EARTHQUAKE ANALYSIS AND DESIGN OF STRUCTURES , CE ,SAMIT RAY CHOWDHURY,16,Click for details
