ACADEMIC YEAR , SEM, COURSE NAME , COURSE TITLE , DEPT , INSTRUCTOR NAME, REGIST, DETAILS
2017-18 , 1 ,AE201A ,INTRODUCTION TO AEROSPACE ENGINEERING , AE ,A C MANDAL,63,Click for details
2017-18 , 1 ,AE311A ,COMPRESSIBLE AERODYNAMICS , AE ,E RATHAKRISHNAN,48,Click for details
2017-18 , 1 ,AE321A ,FLIGHT MECHANICS I , AE ,MANGAL  KOTHARI,51,Click for details
2017-18 , 1 ,AE331A ,INTRODUCTION TO AEROSPACE STRUCTURES , AE ,C S UPADHYAY,59,Click for details
2017-18 , 1 ,AE371A ,B TECH PROJECT 1 , AE ,CONVENER DUGC,7,Click for details
2017-18 , 1 ,AE401A ,TECHNICAL COMMUNICATION , AE ,V ARGHODE,48,Click for details
2017-18 , 1 ,AE441A ,ROCKET PROPULSION , AE ,V ARGHODE,49,Click for details
2017-18 , 1 ,AE451A ,EXPERIMENTS IN AEROSPACE ENGINEERING III , AE ,A C MANDAL,49,Click for details
2017-18 , 1 ,AE461A ,AIRCRAFT DESIGN-I , AE ,A TEWARI,49,Click for details
2017-18 , 1 ,AE471A ,B TECH PROJECT , AE ,SANJAY KUMAR,44,Click for details
2017-18 , 1 ,AE601A ,INTRO TO AEROSPACE ENGG. , AE ,R K MATHPAL,19,Click for details
2017-18 , 1 ,AE602A ,MATHEMATICS FOR AEROSPACE ENGG. , AE ,ASHOK DE,37,Click for details
2017-18 , 1 ,AE603A ,INTRODUCTION TO SCIENTIFIC COMPUTING , AE ,T K SENGUPTA (OE),20,Click for details
2017-18 , 1 ,AE605A ,ADVANCED COMPUTATIONAL FLUID MECHANICS , AE ,T K SENGUPTA,9,Click for details
2017-18 , 1 ,AE606A ,UNSTEADY GAS DYNAMICS , AE ,SANJAY KUMAR (OE),10,Click for details
2017-18 , 1 ,AE610A ,AERODYNAMICS-I , AE ,DEBOPAM DAS,18,Click for details
2017-18 , 1 ,AE614A ,VISCOUS FLOWS , AE ,KAMAL PODDAR,16,Click for details
2017-18 , 1 ,AE618A ,FINITE ELEMENT METHODS FOR FLUID DYNAMICS , AE ,S MITTAL (OE),60,Click for details
2017-18 , 1 ,AE647A ,FLIGHT DYNAMICS , AE ,A K GHOSH,12,Click for details
2017-18 , 1 ,AE663A ,FUNDAMENTALS OF COMBUSTION , AE ,D P MISHRA,19,Click for details
2017-18 , 1 ,AE664A ,APPLIED COMPRESSIBLE FLOWS , AE ,ABHIJIT KUSHARI,44,Click for details
2017-18 , 1 ,AE670A ,AEROSPACE STRUCTURAL ANALYSIS - I , AE ,PRITAM CHAKRABORTY,11,Click for details
