ACADEMIC YEAR , SEM, COURSE NAME , COURSE TITLE , DEPT , INSTRUCTOR NAME, REGIST, DETAILS
2013-14 , 1 ,AE201 ,DYNAMICAL SYSTEMS , AE ,A C MANDAL,0
2013-14 , 1 ,AE201A ,INTRODUCTION TO AEROSPACE ENGINEERING , AE ,A C MANDAL,45,Click for details
2013-14 , 1 ,AE232 ,AIRCRAFT STRUCTURES - I , AE ,C S UPADHYAY,12,Click for details
2013-14 , 1 ,AE311 ,AERODYNAMICS - I , AE ,E RATHAKRISHNAN,4,Click for details
2013-14 , 1 ,AE311A ,COMPRESSIBLE AERODYNAMICS , AE ,E RATHAKRISHNAN,42,Click for details
2013-14 , 1 ,AE321 ,FLIGHT MECHANICS - I , AE ,ASHISH TIWARI,0
2013-14 , 1 ,AE321A ,FLIGHT MECHANICS I , AE ,ASHISH TIWARI,47,Click for details
2013-14 , 1 ,AE331A ,INTRODUCTION TO AEROSPACE STRUCTURES , AE ,C S UPADHYAY,55,Click for details
2013-14 , 1 ,AE341 ,PROPULSION - I , AE ,ASHOKE DE,3,Click for details
2013-14 , 1 ,AE391A ,UG PROJECT (UGP-I) , AE ,CONVENOR DUGC,8,Click for details
2013-14 , 1 ,AE411 ,EXPERIMENTS IN AERODYNAMICS , AE ,KAMAL PODDAR,49,Click for details
2013-14 , 1 ,AE461 ,AIRCRAFT DESIGN-I , AE ,A K GHOSH,56,Click for details
2013-14 , 1 ,AE471 ,PROJECT-I , AE ,CONVENOR DUGC,25,Click for details
2013-14 , 1 ,AE472 ,PROJECT-II , AE ,CONVENOR DUGC,1,Click for details
2013-14 , 1 ,AE601 ,INTRO TO AEROSPACE ENGG. , AE ,RAKESH KUMAR,25,Click for details
2013-14 , 1 ,AE601A ,INTRO TO AEROSPACE ENGG. , AE ,RAKESH KUMAR,0
2013-14 , 1 ,AE602 ,MATHEMATICS FOR AEROSPACE ENGG. , AE ,P M MOHITE,63,Click for details
2013-14 , 1 ,AE602A ,MATHEMATICS FOR AEROSPACE ENGG. , AE ,P M MOHITE,0
2013-14 , 1 ,AE603 ,INTRODUCTION TO SCIENTIFIC COMPUTING , AE ,ASHOKE DE,18,Click for details
2013-14 , 1 ,AE605 ,ADVANCED COMPUTATIONAL FLUID MECHANICS , AE ,T K SENGUPTA,9,Click for details
2013-14 , 1 ,AE605A ,ADVANCED COMPUTATIONAL FLUID MECHANICS , AE ,T K SENGUPTA,0
2013-14 , 1 ,AE610 ,AERODYNAMICS-I , AE ,DEBOPAM DAS,26,Click for details
2013-14 , 1 ,AE610A ,AERODYNAMICS-I , AE ,DEBOPAM DAS,0
2013-14 , 1 ,AE618 ,FINITE ELEMENT METHODS FOR FLUID DYNAMICS , AE ,SANJAY MITTAL,51,Click for details
2013-14 , 1 ,AE618A ,FINITE ELEMENT METHODS FOR FLUID DYNAMICS , AE ,SANJAY MITTAL,8,Click for details
2013-14 , 1 ,AE647 ,FLIGHT DYNAMICS , AE ,ASHISH TIWARI,8,Click for details
