ACADEMIC YEAR , SEM, COURSE NAME , COURSE TITLE , DEPT , INSTRUCTOR NAME, REGIST, DETAILS
2007-08 , 1 ,BSE211 ,CELLULAR AND ORGANISMAL BIOLOGY , BSBE ,P SINHA,0
2007-08 , 2 ,BSE212 ,MOLECULAR BIOLOGY , BSBE ,J SEN,0
2007-08 , 2 ,BSE214 ,BIOMECHANICS , BSBE ,A PAL,0
2007-08 , 2 ,BSE216 ,BIOCHEMISTRY , BSBE ,D BANDOPADHYAY,0
2007-08 , 2 ,BSE292 ,BSBE LAB-I MOLECUTAR BIOLOGY , BSBE ,K SUBRAMANIAM,0
2007-08 , 2 ,BSE314 ,BIOMECHANICS , BSBE ,A PAL,0
2007-08 , 2 ,BSE322 ,STRUCTURAL BIOLOGY &amp; BIOINFORMATICS , BSBE ,R SANKARARAMAKRISHNAN,0
2007-08 , 1 ,BSE323 ,PROTEIN STRUCTURE AND ENGINEERING , BSBE ,DR. B PRAKASH,0
2007-08 , 2 ,BSE323 ,PROTEIN STRUCTURE AND ENGINEERING , BSBE ,,0
2007-08 , 1 ,BSE341 ,BIOCHEMICAL ENGINEERING , BSBE ,A KUMAR,0
2007-08 , 1 ,BSE391 ,BSBE LAB-II BIOCHEMISTRY &amp; BIOCHEM. ENGG. , BSBE ,A BANDOPADHYAY,0
2007-08 , 2 ,BSE392 ,BSBE LAB III STRUCTURAL BIOL. &amp; BIOINFORMATICS , BSBE ,B PRAKASH,0
2007-08 , 1 ,BSE452 ,BIOMATERIALS , BSBE ,D S KATTI,0
2007-08 , 2 ,BSE454 ,INTRODUCTION TO TISSUE ENGG. , BSBE ,D S KATTI,0
2007-08 , 2 ,BSE460 ,TRENDS IN BIOLOGY AND BIOENGINEERING RESEARCH , BSBE ,DUGC CONVENER,0
2007-08 , 3 ,BSE460 ,TRENDS IN BIOLOGY AND BIOENGINEERING RESEARCH , BSBE ,K SUBRAMANIAM,0
2007-08 , 2 ,BSE462 ,METHODS IN BIO-TECHNOLOGY-1 , BSBE ,ASHOK KUMAR,0
2007-08 , 1 ,BSE491 ,BSBE LAB IV BIOMECHANICS &amp; BIOMATERIALS , BSBE ,A PAL,0
2007-08 , 1 ,BSE498 ,PROJECT I , BSBE ,CONVENOR DUGC,0
2007-08 , 3 ,BSE499 ,PROJECT II , BSBE ,K SUBRAMANIAM,0
2007-08 , 2 ,BSE499 ,PROJECT II , BSBE ,CONVENOR DUGC,0
2007-08 , 1 ,BSE611 ,INTRODUCTION TO MODERN BIOLOGY , BSBE ,S GANESH,0
2007-08 , 1 ,BSE612 ,MATHEMATICS &amp; STATISTICS FOR BIOLOGISTS , BSBE ,A PAL,0
2007-08 , 1 ,BSE613 ,CELL &amp; MOLECULAR BIOLOGY , BSBE ,K SUBRAMANIAM,0
2007-08 , 1 ,BSE629 ,NEUROBIOLOGY , BSBE ,J SEN,0
2007-08 , 1 ,BSE630 ,DEVELOPMENTAL BIOLOGY I , BSBE ,A BANDYOPADHYAY,0
2007-08 , 2 ,BSE631 ,DEVELOPMENTAL BIOLOGY II , BSBE ,P SINHA,0
2007-08 , 1 ,BSE632 ,STRUCTURAL BIOLOGY &amp; BIOPHYSICS , BSBE ,R SANKARARAMAKRISHNAN,0
2007-08 , 2 ,BSE636 ,HUMAN MOLECULAR GENETICS , BSBE ,S GANESH,0
2007-08 , 2 ,BSE638 ,STRUCTURAL BASIS OF PROTEIN FUNCTION , BSBE ,B PRAKASH,0
2007-08 , 1 ,BSE640 ,BIOMATERIALS , BSBE ,D S KATTI,0
2007-08 , 1 ,BSE641 ,BIOLOGY LAB , BSBE ,D S KATTI,0
2007-08 , 2 ,BSE641 ,BIOLOGY LAB , BSBE ,DPGC CONVENER,0
2007-08 , 2 ,BSE652 ,TISSUE ENGINEERING , BSBE ,D S KATTI,0
2007-08 , 1 ,BSE671 ,RESEARCH METHODS IN BIOLOGICAL SCIENCES , BSBE ,D S KATTI,0
2007-08 , 2 ,BSE671 ,RESEARCH METHODS IN BIOLOGICAL SCIENCES , BSBE ,DPGC CONVENER,0
2007-08 , 1 ,BSE681 ,SPECIAL TOPICS IN BIOLOGICAL SCIENCES &amp; BIOENGINEERING , BSBE ,D S KATTI,0
2007-08 , 2 ,BSE681 ,SPECIAL TOPICS IN BIOLOGICAL SCIENCES &amp; BIOENGINEERING , BSBE ,DPGC CONVENER,0
2007-08 , 1 ,BSE699 ,M.TECH THESIS , BSBE ,D S KATTI,0
2007-08 , 2 ,BSE699 ,M.TECH THESIS , BSBE ,CONVENOR DPGC,0
2007-08 , 3 ,BSE699 ,M.TECH THESIS , BSBE ,CONVENOR DPGC,0
2007-08 , 2 ,BSE701 ,SEMINAR , BSBE ,CONVENOR DPGC,0
2007-08 , 1 ,BSE701 ,SEMINAR , BSBE ,D S KATTI,0
2007-08 , 2 ,BSE702 ,SEMINAR , BSBE ,CONVENOR DPGC,0
2007-08 , 1 ,BSE702 ,SEMINAR , BSBE ,D S KATTI,0
2007-08 , 1 ,BSE799 ,PHD THESIS , BSBE ,D S KATTI,0
2007-08 , 2 ,BSE799 ,PHD THESIS , BSBE ,CONVENOR DPGC,0
2007-08 , 2 ,CE100 ,INTRODUCTION TO PROFESSION , CE ,S CHANDRA,0
2007-08 , 2 ,CE222 ,STRUTURAL ANALYSIS , CE ,D C RAI,0
2007-08 , 2 ,CE242 ,ENGINEERING GEOSCIENCES , CE ,R SINHA,0
2007-08 , 1 ,CE251 ,CONSTRUCTION MATERIALS , CE ,S.K.CHAKRABARTY,0
2007-08 , 2 ,CE312 ,HYDRAULIC ENGINEERING (COURSE DROPPED BY DEPT) , CE ,R SRIVASTAVA,0
2007-08 , 1 ,CE321 ,DESIGN OF STEEL STRUCTURES , CE ,V K GUPTA,0
2007-08 , 2 ,CE322 ,DESIGN OF REINFORCED CONCRETE STRUCTURES , CE ,A KUMAR,0
2007-08 , 1 ,CE331 ,SOIL MECHANICS , CE ,P.K.BASUDHER,0
2007-08 , 2 ,CE332 ,GEOTECHNICAL ENGINEERING , CE ,A PRASHANT,0
2007-08 , 2 ,CE352 ,FUNCTIONAL PLANNING OF BUILDINGS , CE ,,0
2007-08 , 1 ,CE361 ,ENVIRONMENTAL QUALITY &amp; POLLUTION , CE ,MUKESH SHARMA,0
2007-08 , 2 ,CE362 ,WATER SUPPLY &amp; WASTWATER ENGINEERING , CE ,V TARE,0
2007-08 , 1 ,CE371 ,GEOINFORMATICS , CE ,BHARAT LOHANI,0
2007-08 , 1 ,CE373 ,SURVEY AND GEOLOGY CAMP , CE ,,0
2007-08 , 2 ,CE373 ,SURVEY AND GEOLOGY CAMP , CE ,ONKAR DIKSHIT,0
2007-08 , 2 ,CE382 ,TRANSPORTATION ENGINEERING , CE ,A DAS,0
2007-08 , 1 ,CE390 ,INDUSTRIAL TRAINING , CE ,CONVENOR DUGC,0
2007-08 , 2 ,CE390 ,INDUSTRIAL TRAINING , CE ,RAJESH SRIVASTAVA,0
2007-08 , 1 ,CE411 ,ENGINEERING HYDROLOGY , CE ,ASHU JAIN,0
2007-08 , 3 ,CE414 ,RIVER ENGINEERING , CE ,P K MOHAPATRA,0
2007-08 , 1 ,CE414 ,RIVER ENGINEERING , CE ,RAJESH SRIVASTAVA,0
2007-08 , 1 ,CE421 ,STRUCTURAL DESIGN III , CE ,S K JAIN,0
2007-08 , 2 ,CE436 ,MACHINE FOUNDATION DESIGN , CE ,P GHOSH,0
2007-08 , 1 ,CE451 ,SYSTEMS ANALYSIS IN CIVIL ENGG. , CE ,BITHIN DUTTA,0
2007-08 , 2 ,CE452 ,PRINCIPLES OF CONSTRUCTION MANAGEMENT , CE ,S MISRA,0
2007-08 , 2 ,CE463 ,ENVIRONMENTAL IMPACT &amp; RISK ASSESSMENT , CE ,MUKESH  SHARMA,0
2007-08 , 1 ,CE491 ,PROJECT-I , CE ,CONVENOR DUGC,0
2007-08 , 2 ,CE492 ,PROJECT II , CE ,DUGC CONVENOR,0
2007-08 , 1 ,CE601 ,STATISTICAL ANALYSIS FOR CIVIL ENGINEERS , CE ,PARTHA CHAKRABORTY,0
2007-08 , 1 ,CE602N ,ADVANCED MATHEMATICS FOR CIVIL ENGINEERS , CE ,SOUMEN GUHA,0
2007-08 , 1 ,CE611N ,ENGINEERING HYDRAULICS , CE ,RAJESH SRIVASTAVA,0
2007-08 , 2 ,CE612N ,FLUID MECHANICS LABORATORY , CE ,P K MOHAPATRA,0
2007-08 , 2 ,CE614 ,STOCHASTIC HYDROLOGY , CE ,A JAIN,0
2007-08 , 1 ,CE620 ,STRUCTURAL DYNAMICS , CE ,D.C.RAI,0
2007-08 , 1 ,CE621N ,ENGINEERING MECHANICS , CE ,ASHWINI KUMAR,0
2007-08 , 2 ,CE622N ,STABILITY OF STRUCTURES , CE ,S K CHAKRABARTI,0
2007-08 , 1 ,CE623N ,EXPERIMENTAL METHODS IN STRUCTURAL ENGINEERNIG , CE ,D C RAI,0
2007-08 , 2 ,CE629 ,EARTHQUAKE ANALYSIS AND DESIGN OF STRUCTURES , CE ,S K JAIN,0
2007-08 , 2 ,CE630 ,ROCK MECHANICS , CE ,S CHANDRA,0
2007-08 , 1 ,CE631N ,ADVANCED GEOTECHNICAL ENGINEERING , CE ,AMIT PRASHANT,0
2007-08 , 2 ,CE632N ,FOUNDATION ANALYSIS AND DESIGN , CE ,N R PATRA,0
2007-08 , 1 ,CE634N ,GROUND IMPROVEMENT TECHNIQUES , CE ,N R PATRA,0
2007-08 , 1 ,CE635 ,FOUNDATION DYNAMICS , CE ,PRIYANKA GHOSH,0
2007-08 , 2 ,CE638N ,GEOTECHNICAL INVESTIGATIONS FOR CIVIL ENGINEERING PROJECTS , CE ,P K BASUDHAR,0
2007-08 , 2 ,CE640 ,EARTH SYSTEM PROCESSES , CE ,R SINHA,0
2007-08 , 1 ,CE642 ,GEOLOGICAL HAZARDS , CE ,JAVED MALIK,0
2007-08 , 1 ,CE643 ,RESOURCE EXPLORATION TECHNIQUES , CE ,COURSE DROPPED,0
2007-08 , 1 ,CE645 ,PHOTOGEOLOGY IN TERRAIN EVALUATION , CE ,J N MALIK,0
2007-08 , 2 ,CE647 ,PALEOSEISMOLOGY AND TECTONIC GEOMORPHOLOGY , CE ,J N MALIK,0
2007-08 , 1 ,CE671N ,INTRODUCTION TO REMOTE SENSING , CE ,BHARAT LOHANI,0
2007-08 , 2 ,CE672 ,MACHINE PROCESSING OF REMOTELY SENSED DATA , CE ,ONKAR DIKSHIT,0
2007-08 , 2 ,CE673N ,"INSTRUMENTATION, LABORATORY AND FIELD PRACTICES IN GEOINFORMATICS ", CE ,ONKAR DIKSHIT,0
2007-08 , 2 ,CE676 ,PRECISION REMOTE SENSING , CE ,B LOHANI,0
2007-08 , 1 ,CE677N ,GEOSPATIAL DATA PROCESSING , CE ,ONKAR DIXIT,0
2007-08 , 2 ,CE682N ,ANALYSIS AND DESIGN OF TRANSPORTATION INFRASTRUCTURE , CE ,A DAS,0
2007-08 , 1 ,CE683 ,TRAFFIC ENGINEERING , CE ,P CHAKRABARTY,0
2007-08 , 1 ,CE689N ,CHARACTERIZATION OF PAVEMENT MATERIALS AND ANALYSIS OF PAVEMENTS , CE ,ANIMESH DAS,0
2007-08 , 2 ,CE690N ,LABORATORY COURSE IN TRANSPORTATION ENGINEERING , CE ,A DAS,0
2007-08 , 1 ,CE699 ,M. TECH THESIS , CE ,CONVENOR DPGC,0
2007-08 , 2 ,CE699 ,M. TECH THESIS , CE ,CONVENOR DPGC,0
2007-08 , 3 ,CE699 ,M. TECH THESIS , CE ,,0
2007-08 , 1 ,CE699. ,M.TECH THESIS (FOR DUAL DEGREE ONLY) , CE ,RAJESH SRIVASTAVA,0
2007-08 , 2 ,CE699. ,M.TECH THESIS (FOR DUAL DEGREE ONLY) , CE ,CONVENOR DUGC,0
2007-08 , 3 ,CE699. ,M.TECH THESIS (FOR DUAL DEGREE ONLY) , CE ,CONVENOR DUGC,0
2007-08 , 1 ,CE717 ,GROUNDWATER HYDROLOGY &amp; POLLUTANT TRANSPORT , CE ,BITHIN DUTTA,0
2007-08 , 2 ,CE721 ,RANDOM VIBRATIONS , CE ,V K GUPTA,0
2007-08 , 1 ,CE751 ,ADVANCED STATISTICAL METHODS FOR CIVIL ENGINEERS , CE ,,0
2007-08 , 1 ,CE799 ,PHD THESIS , CE ,CONVENOR DPGC,0
2007-08 , 2 ,CE799 ,PHD THESIS , CE ,CONVENOR DPGC,0
2007-08 , 2 ,CHE100 ,INTRODUCTION TO PROFESSION , CHE ,P K BHATTACHARYA,0
2007-08 , 2 ,CHE211 ,FLUID MECHANICS , CHE ,A SHARMA,0
2007-08 , 3 ,CHE221 ,CHEMICAL ENGINEERING THERMODYNAMICS , CHE ,A GHATAK,0
2007-08 , 2 ,CHE221 ,CHEMICAL ENGINEERING THERMODYNAMICS , CHE ,A GHATAK,0
2007-08 , 1 ,CHE251 ,CHEMICAL PROCESS CALCULATION , CHE ,J K SINGH,0
2007-08 , 1 ,CHE312 ,HEAT AND MASS  TRANSFER , CHE ,J P GUPTA,0
2007-08 , 2 ,CHE313 ,SEPARATION PROCESSES , CHE ,V SHANKAR,0
2007-08 , 1 ,CHE331 ,CHEMICAL REACTION ENGINEERING , CHE ,S K GUPTA,0
2007-08 , 1 ,CHE361 ,CHEMICAL PROCESS INDUSTRIES , CHE ,PANKAJ APTE,0
2007-08 , 2 ,CHE362 ,BIOCHEMICAL ENGINEERING , CHE ,G DEO,0
2007-08 , 2 ,CHE381 ,PROCESS DYNAMICS AND CONTROL , CHE ,N KAISTHA,0
2007-08 , 2 ,CHE391 ,UNIT OPERATION LABORATORY-I , CHE ,D KUNZRU,0
2007-08 , 1 ,CHE452 ,COMPUTER APPLICATIONS IN CHEMICAL ENGG. , CHE ,ASHOK KHANNA,0
2007-08 , 2 ,CHE453 ,CHEMICAL ENGINEERING DESIGN , CHE ,A KUMAR,0
2007-08 , 2 ,CHE463 ,ELECTRONIC POLYMERIC &amp; CERAMIC MATERIALS &amp; PROCESSING , CHE ,S PANDA,0
2007-08 , 1 ,CHE492 ,UNIT OPERATION LAB II , CHE ,ANIMANGSU GHATAK,0
2007-08 , 1 ,CHE494 ,SUMMER IN-PLANT TRAINING , CHE ,P K BHATTACHARYA,0
2007-08 , 1 ,CHE495 ,PROJECT-I , CHE ,P K BHATTACHARYA,0
2007-08 , 2 ,CHE496 ,PROJECT II , CHE ,P K BHATTACHARYA,0
2007-08 , 1 ,CHE611 ,TRANSPORT PHENOMENA , CHE ,Y M JOSHI,0
