ACADEMIC YEAR , SEM, COURSE NAME , COURSE TITLE , DEPT , INSTRUCTOR NAME, REGIST, DETAILS
2008-09 , 2 ,AE100 ,INTRODUCTION TO PROFESSION , AE ,D DAS,33,Click for details
2008-09 , 2 ,AE211 ,AERODYNAMICS I , AE ,E RATHA KRISHNAN,32,Click for details
2008-09 , 1 ,AE231 ,ELEMENTS OF VIBRATION , AE ,M SIVASHAMBHU,35,Click for details
2008-09 , 2 ,AE232 ,AIRCRAFT STRUCTURES - I , AE ,P MOHITE,31,Click for details
2008-09 , 2 ,AE312 ,AERODYNAMICS-II , AE ,B ESHPUNIYANI,35,Click for details
2008-09 , 1 ,AE321 ,FLIGHT MECHANICS - I , AE ,A TEWARI,33,Click for details
2008-09 , 3 ,AE321 ,FLIGHT MECHANICS - I , AE ,A L GHOSH,3,Click for details
2008-09 , 2 ,AE322 ,FLIGHT MECHANICS-II , AE ,A K GHOSH,35,Click for details
2008-09 , 1 ,AE331 ,EXPERIMENTS IN STRUCTURES , AE ,S KAMLE,34,Click for details
2008-09 , 2 ,AE332 ,AEROSPACE STRUCTURES-II , AE ,C S UPADHYAY,45,Click for details
2008-09 , 1 ,AE341 ,PROPULSION - I , AE ,D P MISHRA,34,Click for details
2008-09 , 3 ,AE341 ,PROPULSION - I , AE ,S MITTAL,8,Click for details
2008-09 , 2 ,AE342 ,PROPULSION-II , AE ,R K SULLEREY,24,Click for details
2008-09 , 1 ,AE361 ,AEROMODELLING DESIGN & FABRICATION , AE ,D P MISHRA,34,Click for details
2008-09 , 1 ,AE411 ,EXPERIMENTS IN AERODYNAMICS , AE ,K PODDAR,28,Click for details
2008-09 , 2 ,AE422 ,EXPERIMENTS IN FLIGHT MECHANICS , AE ,A K GHOSH,29,Click for details
2008-09 , 1 ,AE461 ,AIRCRAFT DESIGN-I , AE ,A K GHOSH,29,Click for details
2008-09 , 2 ,AE462 ,AIRCRAFT DESIGN-II , AE ,C VENKATESAN,18,Click for details
2008-09 , 3 ,AE462 ,AIRCRAFT DESIGN-II , AE ,C S UPADHYAY,5,Click for details
2008-09 , 1 ,AE471 ,PROJECT-I , AE ,CONVENER DUGC,20,Click for details
2008-09 , 2 ,AE472 ,PROJECT-II , AE ,CONVENOR DUGC,18,Click for details
2008-09 , 3 ,AE472 ,PROJECT-II , AE ,CONVENOR DUGC,1,Click for details
2008-09 , 2 ,AE490 ,INDUSTRIAL TRAINING , AE ,CONVENOR DUGC,0
2008-09 , 1 ,AE601 ,INTRO TO AEROSPACE ENGG. , AE ,S MITTAL,22,Click for details
2008-09 , 1 ,AE602 ,MATHEMATICS FOR AEROSPACE ENGG. , AE ,B ESHPUNIYANI,24,Click for details
2008-09 , 1 ,AE610 ,AERODYNAMICS-I , AE ,K GHOSH,18,Click for details
2008-09 , 2 ,AE612 ,AERODYNAMICS II , AE ,D DAS,15,Click for details
2008-09 , 2 ,AE618 ,FINITE ELEMENT METHODS FOR FLUID DYNAMICS , AE ,S MITTAL,15,Click for details
2008-09 , 1 ,AE621 ,TURBULENCE , AE ,D DAS,21,Click for details
2008-09 , 1 ,AE622 ,COMPUTATIONAL FLUID DYNAMICS , AE ,T K SENGUPTA,23,Click for details
2008-09 , 2 ,AE625 ,TRANSITION AND TURBULENCE , AE ,T K SENGUPTA,13,Click for details
2008-09 , 1 ,AE628 ,CONTINUUM HYPERSONIC AERODYNAMICS , AE ,M NAIR,9,Click for details
